name,piece_type,file,triangles,bbox_x_mm,bbox_y_mm,bbox_z_mm,solid_volume_cm3,solid_pla_g,magnets_needed
sculpture_lid,arch sculpture lid,sculpture_lid.stl,5932,89.1,104.1,168.99,252.41,313.0,0
storage_box,storage box,storage_box.stl,828,95.0,110.0,52.0,117.89,146.2,0
# kit totals: 2 pieces, 459g solid PLA, 0 magnets
