name,piece_type,file,triangles,bbox_x_mm,bbox_y_mm,bbox_z_mm,solid_volume_cm3,solid_pla_g,magnets_needed
fit_coupon_tab,fit-test coupon,fit_coupon_tab.stl,4092,61.8,25.4,4.0,5.14,6.4,0
fit_coupon_magnet_5x2,fit-test coupon,fit_coupon_magnet_5x2.stl,5828,55.8,25.4,7.4,9.45,11.7,2
fit_coupon_dowel,fit-test coupon,fit_coupon_dowel.stl,4056,55.8,25.4,4.0,5.11,6.3,0
fit_coupon_butt,fit-test coupon,fit_coupon_butt.stl,3964,55.8,25.4,4.0,5.15,6.4,0
# kit totals: 4 pieces, 31g solid PLA, 2 magnets (mm)
